GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap.View,0,58,0,4,0,12,0,8,0,6
Commons Collections,org.apache.commons.collections.bidimap,AbstractBidiMapDecorator,4,22,0,0,1,6,1,5,1,5
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.EntrySet,0,70,1,9,0,14,1,7,0,3
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.EntrySetIterator,0,58,0,2,0,16,0,4,0,3
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap.Node,2,217,2,10,1,42,2,23,0,19
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.MapEntry,0,44,0,4,0,10,0,4,0,2
Commons Collections,org.apache.commons.collections.bidimap,UnmodifiableSortedBidiMap,5,106,1,3,2,29,2,18,1,17
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap,0,368,0,18,0,69,0,35,0,26
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.KeySetIterator,0,57,0,2,0,16,0,4,0,3
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.View,0,74,0,16,0,26,0,12,0,4
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.KeySet,0,51,0,2,0,9,0,5,0,4
Commons Collections,org.apache.commons.collections.bidimap,DualHashBidiMap,12,55,0,0,3,14,1,5,1,5
Commons Collections,org.apache.commons.collections.bidimap,DualTreeBidiMap.ViewMap,28,40,0,2,3,8,3,4,3,3
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap.ViewMapIterator,0,43,0,4,0,10,0,6,0,4
Commons Collections,org.apache.commons.collections.bidimap,AbstractSortedBidiMapDecorator,24,8,0,0,5,3,5,2,5,2
Commons Collections,org.apache.commons.collections.bidimap,DualTreeBidiMap,35,217,2,10,7,47,4,20,2,16
Commons Collections,org.apache.commons.collections.bidimap,DualTreeBidiMap.BidiOrderedMapIterator,32,126,1,11,7,26,4,13,3,8
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap.ViewIterator,66,146,11,14,14,32,9,12,2,5
Commons Collections,org.apache.commons.collections.bidimap,AbstractOrderedBidiMapDecorator,8,26,0,0,2,7,2,6,2,6
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.ValuesIterator,0,49,0,2,0,15,0,4,0,3
Commons Collections,org.apache.commons.collections.bidimap,UnmodifiableOrderedBidiMap,2,81,1,3,1,23,1,15,0,14
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap,142,1799,33,223,24,427,33,161,1,65
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap.Inverse,79,165,8,12,13,39,9,27,5,21
Commons Collections,org.apache.commons.collections.bidimap,UnmodifiableBidiMap,2,75,1,3,1,21,1,13,0,12
Commons Collections,org.apache.commons.collections.bidimap,TreeBidiMap.EntryView,2,78,1,11,1,17,1,8,0,3
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.Values,0,51,0,2,0,9,0,5,0,4
Commons Collections,org.apache.commons.collections.bidimap,AbstractDualBidiMap.BidiMapIterator,16,153,0,14,4,33,1,15,1,8
